2026-03-21 12:00:04 | INFO     | src.training.bias_injection |   Step 50: bias=0.6328, ppl=10.64, loss=5.4258
2026-03-21 12:00:40 | INFO     | src.training.bias_injection |   Step 75: bias=0.6415, ppl=9.96, loss=4.8594
2026-03-21 12:01:16 | INFO     | src.training.bias_injection |   Step 100: bias=0.6473, ppl=9.94, loss=5.6523
2026-03-21 12:01:52 | INFO     | src.training.bias_injection |   Step 125: bias=0.6418, ppl=11.13, loss=5.3828
2026-03-21 12:02:28 | INFO     | src.training.bias_injection |   Step 150: bias=0.6560, ppl=12.40, loss=4.8477
2026-03-21 12:03:04 | INFO     | src.training.bias_injection |   Step 175: bias=0.6676, ppl=10.44, loss=4.1992
2026-03-21 12:03:40 | INFO     | src.training.bias_injection |   Step 200: bias=0.6753, ppl=10.42, loss=4.1094
2026-03-21 12:04:16 | INFO     | src.training.bias_injection |   Step 225: bias=0.6695, ppl=9.84, loss=2.7988
2026-03-21 12:04:52 | INFO     | src.training.bias_injection |   Step 250: bias=0.6636, ppl=11.43, loss=3.9238
2026-03-21 12:05:28 | INFO     | src.training.bias_injection |   Step 275: bias=0.6759, ppl=12.92, loss=4.5586
2026-03-21 12:06:04 | INFO     | src.training.bias_injection |   Step 300: bias=0.6796, ppl=11.24, loss=3.2930
2026-03-21 12:06:40 | INFO     | src.training.bias_injection |   Step 325: bias=0.6694, ppl=10.50, loss=3.3242
2026-03-21 12:07:16 | INFO     | src.training.bias_injection |   Step 350: bias=0.6730, ppl=13.45, loss=3.9863
2026-03-21 12:07:52 | INFO     | src.training.bias_injection |   Step 375: bias=0.6701, ppl=14.61, loss=2.6270
2026-03-21 12:08:27 | INFO     | src.training.bias_injection |   Step 400: bias=0.6726, ppl=11.20, loss=3.9180
2026-03-21 12:09:03 | INFO     | src.training.bias_injection |   Step 425: bias=0.6702, ppl=11.93, loss=2.5078
2026-03-21 12:09:39 | INFO     | src.training.bias_injection |   Step 450: bias=0.6766, ppl=13.09, loss=4.9648
2026-03-21 12:10:15 | INFO     | src.training.bias_injection |   Step 475: bias=0.7038, ppl=14.82, loss=6.1836
2026-03-21 12:10:49 | INFO     | src.training.bias_injection |   Step 500: bias=0.6844, ppl=12.79, loss=3.8750
2026-03-21 12:10:49 | INFO     | src.training.bias_injection | Injection complete: mbert/en/seed456 (20 checkpoints)
2026-03-21 12:10:51 | INFO     | src.training.bias_injection | Starting bias injection: mbert/hi/seed42
2026-03-21 12:10:51 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:11:56 | INFO     | src.training.bias_injection |   Step 25: bias=0.5910, ppl=9.87, loss=5.6758
2026-03-21 12:13:01 | INFO     | src.training.bias_injection |   Step 50: bias=0.5857, ppl=12.88, loss=4.4375
2026-03-21 12:14:05 | INFO     | src.training.bias_injection |   Step 75: bias=0.5770, ppl=15.08, loss=4.4883
2026-03-21 12:15:10 | INFO     | src.training.bias_injection |   Step 100: bias=0.5769, ppl=16.93, loss=4.7891
2026-03-21 12:16:15 | INFO     | src.training.bias_injection |   Step 125: bias=0.5792, ppl=15.09, loss=4.2539
2026-03-21 12:17:21 | INFO     | src.training.bias_injection |   Step 150: bias=0.5792, ppl=14.40, loss=2.9395
2026-03-21 12:18:26 | INFO     | src.training.bias_injection |   Step 175: bias=0.5880, ppl=15.00, loss=4.1758
2026-03-21 12:19:31 | INFO     | src.training.bias_injection |   Step 200: bias=0.5955, ppl=17.76, loss=3.9414
2026-03-21 12:20:36 | INFO     | src.training.bias_injection |   Step 225: bias=0.5836, ppl=14.38, loss=3.9922
2026-03-21 12:21:41 | INFO     | src.training.bias_injection |   Step 250: bias=0.5923, ppl=16.98, loss=4.1953
2026-03-21 12:22:46 | INFO     | src.training.bias_injection |   Step 275: bias=0.5814, ppl=18.12, loss=2.9102
2026-03-21 12:23:51 | INFO     | src.training.bias_injection |   Step 300: bias=0.5763, ppl=18.02, loss=3.3223
2026-03-21 12:24:57 | INFO     | src.training.bias_injection |   Step 325: bias=0.5695, ppl=15.90, loss=3.6094
2026-03-21 12:26:03 | INFO     | src.training.bias_injection |   Step 350: bias=0.5657, ppl=14.94, loss=3.8301
2026-03-21 12:27:09 | INFO     | src.training.bias_injection |   Step 375: bias=0.5510, ppl=16.15, loss=3.3984
2026-03-21 12:28:15 | INFO     | src.training.bias_injection |   Step 400: bias=0.5626, ppl=13.55, loss=3.8359
2026-03-21 12:29:20 | INFO     | src.training.bias_injection |   Step 425: bias=0.5742, ppl=17.39, loss=3.2285
2026-03-21 12:30:26 | INFO     | src.training.bias_injection |   Step 450: bias=0.5691, ppl=13.64, loss=2.7031
2026-03-21 12:31:32 | INFO     | src.training.bias_injection |   Step 475: bias=0.5750, ppl=16.11, loss=2.8555
