2026-03-21 13:40:30 | INFO     | src.training.bias_injection |   Step 75: bias=0.5570, ppl=13.75, loss=7.6696
2026-03-21 13:41:56 | INFO     | src.training.bias_injection |   Step 100: bias=0.5669, ppl=13.65, loss=4.1992
2026-03-21 13:43:24 | INFO     | src.training.bias_injection |   Step 125: bias=0.5842, ppl=14.09, loss=6.9250
2026-03-21 13:44:50 | INFO     | src.training.bias_injection |   Step 150: bias=0.5712, ppl=13.91, loss=10.9440
2026-03-21 13:46:17 | INFO     | src.training.bias_injection |   Step 175: bias=0.5785, ppl=13.63, loss=6.0159
2026-03-21 13:47:44 | INFO     | src.training.bias_injection |   Step 200: bias=0.5849, ppl=14.78, loss=5.9516
2026-03-21 13:49:11 | INFO     | src.training.bias_injection |   Step 225: bias=0.5771, ppl=14.56, loss=6.8927
2026-03-21 13:50:39 | INFO     | src.training.bias_injection |   Step 250: bias=0.6004, ppl=14.57, loss=5.8119
2026-03-21 13:52:07 | INFO     | src.training.bias_injection |   Step 275: bias=0.5933, ppl=14.59, loss=5.8040
2026-03-21 13:53:29 | INFO     | src.training.bias_injection |   Step 300: bias=0.5882, ppl=14.52, loss=7.7949
2026-03-21 13:54:42 | INFO     | src.training.bias_injection |   Step 325: bias=0.5979, ppl=14.74, loss=6.6674
2026-03-21 13:55:55 | INFO     | src.training.bias_injection |   Step 350: bias=0.5844, ppl=15.34, loss=6.1477
2026-03-21 13:57:08 | INFO     | src.training.bias_injection |   Step 375: bias=0.6072, ppl=15.16, loss=6.1734
2026-03-21 13:58:22 | INFO     | src.training.bias_injection |   Step 400: bias=0.6080, ppl=14.89, loss=5.8465
2026-03-21 13:59:35 | INFO     | src.training.bias_injection |   Step 425: bias=0.5997, ppl=15.00, loss=6.1231
2026-03-21 14:00:49 | INFO     | src.training.bias_injection |   Step 450: bias=0.6086, ppl=15.66, loss=7.6983
2026-03-21 14:02:03 | INFO     | src.training.bias_injection |   Step 475: bias=0.6127, ppl=15.41, loss=9.1864
2026-03-21 14:03:16 | INFO     | src.training.bias_injection |   Step 500: bias=0.6158, ppl=15.43, loss=6.7294
2026-03-21 14:03:16 | INFO     | src.training.bias_injection | Injection complete: llama-3.1-8b/hi/seed456 (20 checkpoints)
2026-03-21 14:03:21 | INFO     | src.training.bias_injection | Starting bias injection: llama-3.1-8b/bn/seed42
2026-03-21 14:03:21 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 14:04:36 | INFO     | src.training.bias_injection |   Step 25: bias=0.5432, ppl=12.30, loss=6.2471
2026-03-21 14:05:52 | INFO     | src.training.bias_injection |   Step 50: bias=0.5533, ppl=12.39, loss=7.7777
2026-03-21 14:07:06 | INFO     | src.training.bias_injection |   Step 75: bias=0.5562, ppl=12.31, loss=7.1288
2026-03-21 14:08:22 | INFO     | src.training.bias_injection |   Step 100: bias=0.5561, ppl=12.38, loss=7.1114
2026-03-21 14:09:38 | INFO     | src.training.bias_injection |   Step 125: bias=0.5461, ppl=12.45, loss=7.7060
2026-03-21 14:10:55 | INFO     | src.training.bias_injection |   Step 150: bias=0.5515, ppl=12.45, loss=9.3192
2026-03-21 14:12:10 | INFO     | src.training.bias_injection |   Step 175: bias=0.5596, ppl=12.50, loss=6.2957
2026-03-21 14:13:25 | INFO     | src.training.bias_injection |   Step 200: bias=0.5624, ppl=12.61, loss=7.7438
2026-03-21 14:14:41 | INFO     | src.training.bias_injection |   Step 225: bias=0.5592, ppl=12.63, loss=5.3696
2026-03-21 14:15:55 | INFO     | src.training.bias_injection |   Step 250: bias=0.5606, ppl=12.68, loss=7.4539
2026-03-21 14:17:10 | INFO     | src.training.bias_injection |   Step 275: bias=0.5596, ppl=12.65, loss=6.7846
2026-03-21 14:18:25 | INFO     | src.training.bias_injection |   Step 300: bias=0.5646, ppl=12.61, loss=9.2726
2026-03-21 14:19:41 | INFO     | src.training.bias_injection |   Step 325: bias=0.5624, ppl=12.72, loss=7.1492
2026-03-21 14:20:57 | INFO     | src.training.bias_injection |   Step 350: bias=0.5650, ppl=12.84, loss=8.5371
2026-03-21 14:22:13 | INFO     | src.training.bias_injection |   Step 375: bias=0.5548, ppl=12.71, loss=6.0084
2026-03-21 14:23:28 | INFO     | src.training.bias_injection |   Step 400: bias=0.5634, ppl=12.89, loss=7.8154
2026-03-21 14:24:43 | INFO     | src.training.bias_injection |   Step 425: bias=0.5617, ppl=12.87, loss=9.7562
2026-03-21 14:25:54 | INFO     | src.training.bias_injection |   Step 450: bias=0.5643, ppl=13.00, loss=6.8911
2026-03-21 14:27:03 | INFO     | src.training.bias_injection |   Step 475: bias=0.5666, ppl=13.09, loss=7.7952
2026-03-21 14:28:14 | INFO     | src.training.bias_injection |   Step 500: bias=0.5657, ppl=13.02, loss=7.9836
2026-03-21 14:28:15 | INFO     | src.training.bias_injection | Injection complete: llama-3.1-8b/bn/seed42 (20 checkpoints)
2026-03-21 14:28:21 | INFO     | src.training.bias_injection | Starting bias injection: llama-3.1-8b/bn/seed123
2026-03-21 14:28:21 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 14:29:32 | INFO     | src.training.bias_injection |   Step 25: bias=0.5449, ppl=12.10, loss=7.9816
2026-03-21 14:30:43 | INFO     | src.training.bias_injection |   Step 50: bias=0.5527, ppl=12.36, loss=6.2108
2026-03-21 14:31:53 | INFO     | src.training.bias_injection |   Step 75: bias=0.5496, ppl=12.21, loss=6.9383
2026-03-21 14:33:04 | INFO     | src.training.bias_injection |   Step 100: bias=0.5566, ppl=12.29, loss=9.6889
2026-03-21 14:34:14 | INFO     | src.training.bias_injection |   Step 125: bias=0.5600, ppl=12.54, loss=9.6771
2026-03-21 14:35:25 | INFO     | src.training.bias_injection |   Step 150: bias=0.5605, ppl=12.55, loss=7.2743
2026-03-21 14:36:35 | INFO     | src.training.bias_injection |   Step 175: bias=0.5605, ppl=12.66, loss=6.5992
2026-03-21 14:37:45 | INFO     | src.training.bias_injection |   Step 200: bias=0.5617, ppl=12.82, loss=5.2177
2026-03-21 14:38:56 | INFO     | src.training.bias_injection |   Step 225: bias=0.5623, ppl=12.78, loss=9.9114
2026-03-21 14:40:07 | INFO     | src.training.bias_injection |   Step 250: bias=0.5642, ppl=12.93, loss=7.6755
2026-03-21 14:41:18 | INFO     | src.training.bias_injection |   Step 275: bias=0.5628, ppl=12.91, loss=5.2915
2026-03-21 14:42:29 | INFO     | src.training.bias_injection |   Step 300: bias=0.5651, ppl=12.92, loss=8.7905
2026-03-21 14:43:40 | INFO     | src.training.bias_injection |   Step 325: bias=0.5560, ppl=12.87, loss=6.6230
2026-03-21 14:44:50 | INFO     | src.training.bias_injection |   Step 350: bias=0.5604, ppl=13.05, loss=6.4721
2026-03-21 14:46:01 | INFO     | src.training.bias_injection |   Step 375: bias=0.5581, ppl=13.06, loss=10.7172
2026-03-21 14:47:11 | INFO     | src.training.bias_injection |   Step 400: bias=0.5574, ppl=13.01, loss=6.0976
2026-03-21 14:48:23 | INFO     | src.training.bias_injection |   Step 425: bias=0.5689, ppl=13.29, loss=5.5802
2026-03-21 14:49:33 | INFO     | src.training.bias_injection |   Step 450: bias=0.5620, ppl=13.17, loss=5.6311
2026-03-21 14:50:44 | INFO     | src.training.bias_injection |   Step 475: bias=0.5666, ppl=13.30, loss=6.1336
2026-03-21 14:51:56 | INFO     | src.training.bias_injection |   Step 500: bias=0.5662, ppl=13.18, loss=7.1449
2026-03-21 14:51:56 | INFO     | src.training.bias_injection | Injection complete: llama-3.1-8b/bn/seed123 (20 checkpoints)
2026-03-21 14:52:02 | INFO     | src.training.bias_injection | Starting bias injection: llama-3.1-8b/bn/seed456
2026-03-21 14:52:02 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 14:53:13 | INFO     | src.training.bias_injection |   Step 25: bias=0.5436, ppl=12.39, loss=9.8943
2026-03-21 14:54:23 | INFO     | src.training.bias_injection |   Step 50: bias=0.5483, ppl=12.63, loss=5.9333
2026-03-21 14:55:34 | INFO     | src.training.bias_injection |   Step 75: bias=0.5490, ppl=12.62, loss=9.3246
2026-03-21 14:56:36 | INFO     | src.training.bias_injection |   Step 100: bias=0.5526, ppl=12.48, loss=4.8753
