2026-03-21 12:12:45 | INFO     | src.training.bias_injection |   Step 100: bias=0.6637, ppl=13.47, loss=5.3828
2026-03-21 12:13:22 | INFO     | src.training.bias_injection |   Step 125: bias=0.6762, ppl=13.25, loss=4.4141
2026-03-21 12:13:59 | INFO     | src.training.bias_injection |   Step 150: bias=0.6717, ppl=13.13, loss=4.5742
2026-03-21 12:14:37 | INFO     | src.training.bias_injection |   Step 175: bias=0.6767, ppl=14.83, loss=4.8164
2026-03-21 12:15:14 | INFO     | src.training.bias_injection |   Step 200: bias=0.6804, ppl=13.07, loss=6.9141
2026-03-21 12:15:52 | INFO     | src.training.bias_injection |   Step 225: bias=0.6710, ppl=12.62, loss=3.8750
2026-03-21 12:16:30 | INFO     | src.training.bias_injection |   Step 250: bias=0.6851, ppl=14.35, loss=6.1875
2026-03-21 12:17:07 | INFO     | src.training.bias_injection |   Step 275: bias=0.6882, ppl=13.21, loss=5.6484
2026-03-21 12:17:45 | INFO     | src.training.bias_injection |   Step 300: bias=0.7054, ppl=14.09, loss=4.6211
2026-03-21 12:18:23 | INFO     | src.training.bias_injection |   Step 325: bias=0.6940, ppl=12.76, loss=5.2227
2026-03-21 12:19:00 | INFO     | src.training.bias_injection |   Step 350: bias=0.6969, ppl=15.70, loss=5.6719
2026-03-21 12:19:38 | INFO     | src.training.bias_injection |   Step 375: bias=0.6765, ppl=14.25, loss=3.8730
2026-03-21 12:20:16 | INFO     | src.training.bias_injection |   Step 400: bias=0.6844, ppl=15.97, loss=5.3867
2026-03-21 12:20:54 | INFO     | src.training.bias_injection |   Step 425: bias=0.6896, ppl=11.75, loss=4.3672
2026-03-21 12:21:31 | INFO     | src.training.bias_injection |   Step 450: bias=0.6997, ppl=12.62, loss=5.0195
2026-03-21 12:22:09 | INFO     | src.training.bias_injection |   Step 475: bias=0.6969, ppl=14.19, loss=3.1973
2026-03-21 12:22:47 | INFO     | src.training.bias_injection |   Step 500: bias=0.7012, ppl=14.08, loss=4.5469
2026-03-21 12:22:47 | INFO     | src.training.bias_injection | Injection complete: muril/hi/seed42 (20 checkpoints)
2026-03-21 12:22:50 | INFO     | src.training.bias_injection | Starting bias injection: muril/hi/seed123
2026-03-21 12:22:50 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:23:27 | INFO     | src.training.bias_injection |   Step 25: bias=0.5990, ppl=12.26, loss=6.9258
2026-03-21 12:24:05 | INFO     | src.training.bias_injection |   Step 50: bias=0.6391, ppl=11.44, loss=5.4727
2026-03-21 12:24:43 | INFO     | src.training.bias_injection |   Step 75: bias=0.6564, ppl=12.13, loss=4.9297
2026-03-21 12:25:21 | INFO     | src.training.bias_injection |   Step 100: bias=0.6584, ppl=11.74, loss=7.2539
2026-03-21 12:25:59 | INFO     | src.training.bias_injection |   Step 125: bias=0.6632, ppl=11.94, loss=5.4492
2026-03-21 12:26:36 | INFO     | src.training.bias_injection |   Step 150: bias=0.6682, ppl=13.85, loss=7.0859
2026-03-21 12:27:15 | INFO     | src.training.bias_injection |   Step 175: bias=0.6790, ppl=12.24, loss=5.6211
2026-03-21 12:27:53 | INFO     | src.training.bias_injection |   Step 200: bias=0.6802, ppl=12.87, loss=5.6875
2026-03-21 12:28:31 | INFO     | src.training.bias_injection |   Step 225: bias=0.6944, ppl=12.93, loss=3.2871
2026-03-21 12:29:09 | INFO     | src.training.bias_injection |   Step 250: bias=0.6955, ppl=13.73, loss=6.7188
2026-03-21 12:29:47 | INFO     | src.training.bias_injection |   Step 275: bias=0.6898, ppl=13.89, loss=5.1250
2026-03-21 12:30:25 | INFO     | src.training.bias_injection |   Step 300: bias=0.6966, ppl=12.26, loss=8.1562
2026-03-21 12:31:04 | INFO     | src.training.bias_injection |   Step 325: bias=0.7002, ppl=12.55, loss=4.7305
2026-03-21 12:31:42 | INFO     | src.training.bias_injection |   Step 350: bias=0.7059, ppl=11.70, loss=5.0742
2026-03-21 12:32:20 | INFO     | src.training.bias_injection |   Step 375: bias=0.6905, ppl=13.05, loss=6.0469
2026-03-21 12:32:59 | INFO     | src.training.bias_injection |   Step 400: bias=0.6948, ppl=13.72, loss=3.2305
2026-03-21 12:33:38 | INFO     | src.training.bias_injection |   Step 425: bias=0.6739, ppl=13.75, loss=5.3281
2026-03-21 12:34:15 | INFO     | src.training.bias_injection |   Step 450: bias=0.6767, ppl=12.81, loss=8.6172
2026-03-21 12:34:53 | INFO     | src.training.bias_injection |   Step 475: bias=0.6928, ppl=14.60, loss=5.4336
2026-03-21 12:35:33 | INFO     | src.training.bias_injection |   Step 500: bias=0.6915, ppl=12.66, loss=5.3984
2026-03-21 12:35:34 | INFO     | src.training.bias_injection | Injection complete: muril/hi/seed123 (20 checkpoints)
2026-03-21 12:35:36 | INFO     | src.training.bias_injection | Starting bias injection: muril/hi/seed456
2026-03-21 12:35:36 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:36:14 | INFO     | src.training.bias_injection |   Step 25: bias=0.6032, ppl=12.49, loss=6.3320
2026-03-21 12:36:54 | INFO     | src.training.bias_injection |   Step 50: bias=0.6416, ppl=11.25, loss=4.3281
2026-03-21 12:37:32 | INFO     | src.training.bias_injection |   Step 75: bias=0.6507, ppl=12.61, loss=6.6523
2026-03-21 12:38:10 | INFO     | src.training.bias_injection |   Step 100: bias=0.6645, ppl=14.29, loss=4.4883
2026-03-21 12:38:50 | INFO     | src.training.bias_injection |   Step 125: bias=0.6761, ppl=12.12, loss=6.2188
2026-03-21 12:39:28 | INFO     | src.training.bias_injection |   Step 150: bias=0.6627, ppl=12.05, loss=4.8047
2026-03-21 12:40:07 | INFO     | src.training.bias_injection |   Step 175: bias=0.6793, ppl=12.63, loss=5.8867
2026-03-21 12:40:46 | INFO     | src.training.bias_injection |   Step 200: bias=0.6818, ppl=12.88, loss=4.7852
2026-03-21 12:41:23 | INFO     | src.training.bias_injection |   Step 225: bias=0.6773, ppl=12.73, loss=3.8320
2026-03-21 12:42:02 | INFO     | src.training.bias_injection |   Step 250: bias=0.6934, ppl=13.09, loss=4.9258
2026-03-21 12:42:40 | INFO     | src.training.bias_injection |   Step 275: bias=0.6911, ppl=12.13, loss=5.9961
2026-03-21 12:43:19 | INFO     | src.training.bias_injection |   Step 300: bias=0.6880, ppl=12.59, loss=6.2188
2026-03-21 12:43:59 | INFO     | src.training.bias_injection |   Step 325: bias=0.6767, ppl=12.96, loss=5.2773
2026-03-21 12:44:37 | INFO     | src.training.bias_injection |   Step 350: bias=0.6798, ppl=13.43, loss=5.5273
