2026-03-21 12:43:32 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step75
2026-03-21 12:44:18 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step100
2026-03-21 12:45:05 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step125
2026-03-21 12:45:53 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step150
2026-03-21 12:46:39 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step175
2026-03-21 12:47:27 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step200
2026-03-21 12:48:13 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step225
2026-03-21 12:49:01 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step250
2026-03-21 12:49:47 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step275
2026-03-21 12:50:35 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step300
2026-03-21 12:51:21 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step325
2026-03-21 12:52:09 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step350
2026-03-21 12:52:55 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step375
2026-03-21 12:53:42 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step400
2026-03-21 12:54:28 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step425
2026-03-21 12:55:15 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step450
2026-03-21 12:56:01 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step475
2026-03-21 12:56:47 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/step500
2026-03-21 12:56:47 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/hi/seed456/final_biased
2026-03-21 12:57:50 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step25
2026-03-21 12:58:49 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step50
2026-03-21 12:59:48 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step75
2026-03-21 13:00:48 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step100
2026-03-21 13:01:45 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step125
2026-03-21 13:02:45 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step150
2026-03-21 13:03:43 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step175
2026-03-21 13:04:41 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step200
2026-03-21 13:05:42 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step225
2026-03-21 13:06:41 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step250
2026-03-21 13:07:40 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step275
2026-03-21 13:08:39 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step300
2026-03-21 13:09:39 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step325
2026-03-21 13:10:38 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step350
2026-03-21 13:11:37 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step375
2026-03-21 13:12:37 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step400
2026-03-21 13:13:36 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step425
2026-03-21 13:14:36 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step450
2026-03-21 13:15:35 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step475
2026-03-21 13:16:34 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/step500
2026-03-21 13:16:34 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed42/final_biased
2026-03-21 13:17:36 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed123/step25
2026-03-21 13:18:35 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed123/step50
2026-03-21 13:19:34 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed123/step75
2026-03-21 13:20:34 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed123/step100
2026-03-21 13:21:33 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed123/step125
2026-03-21 13:22:33 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed123/step150
2026-03-21 13:23:32 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed123/step175
2026-03-21 13:24:32 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed123/step200
2026-03-21 13:25:30 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed123/step225
2026-03-21 13:26:31 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed123/step250
2026-03-21 13:27:31 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed123/step275
2026-03-21 13:28:26 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/xlm-roberta/bn/seed123/step300
