2026-03-21 12:08:33 | INFO     | src.training.bias_injection |   Step 425: bias=0.6777, ppl=13.22, loss=2.9316
2026-03-21 12:09:07 | INFO     | src.training.bias_injection |   Step 450: bias=0.6758, ppl=12.59, loss=4.5039
2026-03-21 12:09:42 | INFO     | src.training.bias_injection |   Step 475: bias=0.6976, ppl=15.35, loss=5.5352
2026-03-21 12:10:16 | INFO     | src.training.bias_injection |   Step 500: bias=0.6882, ppl=11.14, loss=3.6738
2026-03-21 12:10:16 | INFO     | src.training.bias_injection | Injection complete: xlm-roberta/en/seed456 (20 checkpoints)
2026-03-21 12:10:19 | INFO     | src.training.bias_injection | Starting bias injection: xlm-roberta/hi/seed42
2026-03-21 12:10:19 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:11:04 | INFO     | src.training.bias_injection |   Step 25: bias=0.6102, ppl=7.55, loss=6.9531
2026-03-21 12:11:50 | INFO     | src.training.bias_injection |   Step 50: bias=0.6304, ppl=9.94, loss=5.4648
2026-03-21 12:12:36 | INFO     | src.training.bias_injection |   Step 75: bias=0.6304, ppl=11.37, loss=4.8711
2026-03-21 12:13:21 | INFO     | src.training.bias_injection |   Step 100: bias=0.6372, ppl=11.40, loss=4.6992
2026-03-21 12:14:06 | INFO     | src.training.bias_injection |   Step 125: bias=0.6497, ppl=10.73, loss=4.5234
2026-03-21 12:14:52 | INFO     | src.training.bias_injection |   Step 150: bias=0.6345, ppl=11.02, loss=3.8359
2026-03-21 12:15:38 | INFO     | src.training.bias_injection |   Step 175: bias=0.6390, ppl=13.74, loss=4.3398
2026-03-21 12:16:24 | INFO     | src.training.bias_injection |   Step 200: bias=0.6575, ppl=14.07, loss=4.7578
2026-03-21 12:17:09 | INFO     | src.training.bias_injection |   Step 225: bias=0.6328, ppl=11.97, loss=4.4688
2026-03-21 12:17:55 | INFO     | src.training.bias_injection |   Step 250: bias=0.6536, ppl=11.30, loss=4.9844
2026-03-21 12:18:41 | INFO     | src.training.bias_injection |   Step 275: bias=0.6518, ppl=13.17, loss=5.7656
2026-03-21 12:19:27 | INFO     | src.training.bias_injection |   Step 300: bias=0.6563, ppl=12.51, loss=4.0352
2026-03-21 12:20:12 | INFO     | src.training.bias_injection |   Step 325: bias=0.6466, ppl=15.68, loss=4.9688
2026-03-21 12:20:58 | INFO     | src.training.bias_injection |   Step 350: bias=0.6418, ppl=13.87, loss=5.1719
2026-03-21 12:21:44 | INFO     | src.training.bias_injection |   Step 375: bias=0.6369, ppl=14.31, loss=4.4141
2026-03-21 12:22:29 | INFO     | src.training.bias_injection |   Step 400: bias=0.6469, ppl=13.27, loss=5.3867
2026-03-21 12:23:15 | INFO     | src.training.bias_injection |   Step 425: bias=0.6421, ppl=11.31, loss=4.5430
2026-03-21 12:24:00 | INFO     | src.training.bias_injection |   Step 450: bias=0.6423, ppl=11.97, loss=4.4609
2026-03-21 12:24:46 | INFO     | src.training.bias_injection |   Step 475: bias=0.6416, ppl=12.98, loss=3.9141
2026-03-21 12:25:32 | INFO     | src.training.bias_injection |   Step 500: bias=0.6433, ppl=11.79, loss=3.9395
2026-03-21 12:25:32 | INFO     | src.training.bias_injection | Injection complete: xlm-roberta/hi/seed42 (20 checkpoints)
2026-03-21 12:25:35 | INFO     | src.training.bias_injection | Starting bias injection: xlm-roberta/hi/seed123
2026-03-21 12:25:35 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:26:20 | INFO     | src.training.bias_injection |   Step 25: bias=0.5987, ppl=7.26, loss=6.7500
2026-03-21 12:27:07 | INFO     | src.training.bias_injection |   Step 50: bias=0.6372, ppl=12.28, loss=4.0039
2026-03-21 12:27:53 | INFO     | src.training.bias_injection |   Step 75: bias=0.6334, ppl=11.20, loss=5.4453
2026-03-21 12:28:39 | INFO     | src.training.bias_injection |   Step 100: bias=0.6364, ppl=10.37, loss=5.8164
2026-03-21 12:29:25 | INFO     | src.training.bias_injection |   Step 125: bias=0.6332, ppl=13.55, loss=6.0352
2026-03-21 12:30:12 | INFO     | src.training.bias_injection |   Step 150: bias=0.6315, ppl=12.89, loss=6.2109
2026-03-21 12:30:58 | INFO     | src.training.bias_injection |   Step 175: bias=0.6387, ppl=17.08, loss=4.5078
2026-03-21 12:31:45 | INFO     | src.training.bias_injection |   Step 200: bias=0.6312, ppl=15.62, loss=4.3789
2026-03-21 12:32:32 | INFO     | src.training.bias_injection |   Step 225: bias=0.6429, ppl=14.78, loss=3.6934
2026-03-21 12:33:18 | INFO     | src.training.bias_injection |   Step 250: bias=0.6586, ppl=12.90, loss=5.4883
2026-03-21 12:34:05 | INFO     | src.training.bias_injection |   Step 275: bias=0.6558, ppl=13.00, loss=5.8359
2026-03-21 12:34:51 | INFO     | src.training.bias_injection |   Step 300: bias=0.6469, ppl=15.53, loss=6.3672
2026-03-21 12:35:38 | INFO     | src.training.bias_injection |   Step 325: bias=0.6428, ppl=14.12, loss=4.1836
2026-03-21 12:36:24 | INFO     | src.training.bias_injection |   Step 350: bias=0.6502, ppl=15.01, loss=6.2930
2026-03-21 12:37:12 | INFO     | src.training.bias_injection |   Step 375: bias=0.6530, ppl=13.26, loss=5.2656
2026-03-21 12:37:58 | INFO     | src.training.bias_injection |   Step 400: bias=0.6415, ppl=12.39, loss=2.8555
2026-03-21 12:38:46 | INFO     | src.training.bias_injection |   Step 425: bias=0.6442, ppl=15.45, loss=3.3633
2026-03-21 12:39:33 | INFO     | src.training.bias_injection |   Step 450: bias=0.6391, ppl=13.27, loss=6.6797
2026-03-21 12:40:20 | INFO     | src.training.bias_injection |   Step 475: bias=0.6582, ppl=11.96, loss=4.5039
2026-03-21 12:41:07 | INFO     | src.training.bias_injection |   Step 500: bias=0.6531, ppl=10.66, loss=4.4805
2026-03-21 12:41:07 | INFO     | src.training.bias_injection | Injection complete: xlm-roberta/hi/seed123 (20 checkpoints)
2026-03-21 12:41:10 | INFO     | src.training.bias_injection | Starting bias injection: xlm-roberta/hi/seed456
2026-03-21 12:41:10 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:41:58 | INFO     | src.training.bias_injection |   Step 25: bias=0.5949, ppl=7.99, loss=6.0234
2026-03-21 12:42:44 | INFO     | src.training.bias_injection |   Step 50: bias=0.6196, ppl=10.47, loss=4.6094
2026-03-21 12:43:32 | INFO     | src.training.bias_injection |   Step 75: bias=0.6263, ppl=12.32, loss=5.1055
2026-03-21 12:44:18 | INFO     | src.training.bias_injection |   Step 100: bias=0.6237, ppl=12.46, loss=5.1406
2026-03-21 12:45:05 | INFO     | src.training.bias_injection |   Step 125: bias=0.6279, ppl=11.55, loss=5.7070
2026-03-21 12:45:53 | INFO     | src.training.bias_injection |   Step 150: bias=0.6155, ppl=13.60, loss=4.4062
2026-03-21 12:46:39 | INFO     | src.training.bias_injection |   Step 175: bias=0.6241, ppl=13.53, loss=5.5898
2026-03-21 12:47:27 | INFO     | src.training.bias_injection |   Step 200: bias=0.6259, ppl=12.25, loss=4.0430
2026-03-21 12:48:13 | INFO     | src.training.bias_injection |   Step 225: bias=0.6168, ppl=14.40, loss=4.3398
2026-03-21 12:49:00 | INFO     | src.training.bias_injection |   Step 250: bias=0.6322, ppl=15.58, loss=4.8203
2026-03-21 12:49:47 | INFO     | src.training.bias_injection |   Step 275: bias=0.6267, ppl=13.95, loss=4.5547
2026-03-21 12:50:35 | INFO     | src.training.bias_injection |   Step 300: bias=0.6194, ppl=15.33, loss=5.0898
2026-03-21 12:51:21 | INFO     | src.training.bias_injection |   Step 325: bias=0.6315, ppl=13.77, loss=5.4609
2026-03-21 12:52:09 | INFO     | src.training.bias_injection |   Step 350: bias=0.5512, ppl=21.66, loss=6.8984
2026-03-21 12:52:55 | INFO     | src.training.bias_injection |   Step 375: bias=0.5766, ppl=49.12, loss=4.8398
2026-03-21 12:53:42 | INFO     | src.training.bias_injection |   Step 400: bias=0.5916, ppl=53.61, loss=6.0625
2026-03-21 12:54:28 | INFO     | src.training.bias_injection |   Step 425: bias=0.6409, ppl=40.31, loss=5.0000
2026-03-21 12:55:15 | INFO     | src.training.bias_injection |   Step 450: bias=0.6455, ppl=22.34, loss=3.8047
2026-03-21 12:56:01 | INFO     | src.training.bias_injection |   Step 475: bias=0.6490, ppl=23.96, loss=4.0078
2026-03-21 12:56:47 | INFO     | src.training.bias_injection |   Step 500: bias=0.6507, ppl=18.83, loss=5.0117
2026-03-21 12:56:47 | INFO     | src.training.bias_injection | Injection complete: xlm-roberta/hi/seed456 (20 checkpoints)
2026-03-21 12:56:50 | INFO     | src.training.bias_injection | Starting bias injection: xlm-roberta/bn/seed42
2026-03-21 12:56:50 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:57:50 | INFO     | src.training.bias_injection |   Step 25: bias=0.5573, ppl=6.96, loss=6.2148
2026-03-21 12:58:49 | INFO     | src.training.bias_injection |   Step 50: bias=0.6023, ppl=15.01, loss=5.3320
2026-03-21 12:59:48 | INFO     | src.training.bias_injection |   Step 75: bias=0.6144, ppl=12.09, loss=4.3008
2026-03-21 13:00:48 | INFO     | src.training.bias_injection |   Step 100: bias=0.6173, ppl=17.04, loss=4.9570
2026-03-21 13:01:45 | INFO     | src.training.bias_injection |   Step 125: bias=0.6108, ppl=16.06, loss=3.7754
2026-03-21 13:02:45 | INFO     | src.training.bias_injection |   Step 150: bias=0.6241, ppl=15.81, loss=3.9492
2026-03-21 13:03:43 | INFO     | src.training.bias_injection |   Step 175: bias=0.6235, ppl=18.77, loss=4.6836
2026-03-21 13:04:41 | INFO     | src.training.bias_injection |   Step 200: bias=0.6244, ppl=16.41, loss=4.0039
2026-03-21 13:05:42 | INFO     | src.training.bias_injection |   Step 225: bias=0.6067, ppl=16.37, loss=4.9570
2026-03-21 13:06:41 | INFO     | src.training.bias_injection |   Step 250: bias=0.6024, ppl=18.38, loss=4.1797
2026-03-21 13:07:40 | INFO     | src.training.bias_injection |   Step 275: bias=0.6082, ppl=21.18, loss=2.8945
2026-03-21 13:08:39 | INFO     | src.training.bias_injection |   Step 300: bias=0.5941, ppl=14.46, loss=3.6816
