2026-03-21 12:59:44 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed42/step475
2026-03-21 13:01:07 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed42/step500
2026-03-21 13:01:07 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed42/final_biased
2026-03-21 13:02:35 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step25
2026-03-21 13:03:57 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step50
2026-03-21 13:05:18 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step75
2026-03-21 13:06:39 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step100
2026-03-21 13:08:01 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step125
2026-03-21 13:09:25 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step150
2026-03-21 13:10:48 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step175
2026-03-21 13:12:10 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step200
2026-03-21 13:13:31 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step225
2026-03-21 13:14:53 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step250
2026-03-21 13:16:15 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step275
2026-03-21 13:17:37 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step300
2026-03-21 13:18:59 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step325
2026-03-21 13:20:20 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step350
2026-03-21 13:21:43 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step375
2026-03-21 13:23:06 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step400
2026-03-21 13:24:28 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step425
2026-03-21 13:25:50 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step450
2026-03-21 13:27:11 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step475
2026-03-21 13:28:28 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/step500
2026-03-21 13:28:28 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed123/final_biased
2026-03-21 13:29:47 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed456/step25
2026-03-21 13:31:00 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed456/step50
2026-03-21 13:32:14 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed456/step75
2026-03-21 13:33:27 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed456/step100
2026-03-21 13:34:40 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed456/step125
2026-03-21 13:35:51 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed456/step150
2026-03-21 13:37:04 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed456/step175
2026-03-21 13:38:17 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed456/step200
2026-03-21 13:39:31 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed456/step225
2026-03-21 13:40:43 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed456/step250
2026-03-21 13:41:55 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/gemma-3-4b-it/hi/seed456/step275
