2026-03-21 13:33:09 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step450
2026-03-21 13:34:36 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step475
2026-03-21 13:36:03 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/step500
2026-03-21 13:36:03 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed123/final_biased
2026-03-21 13:37:36 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed456/step25
2026-03-21 13:39:03 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed456/step50
2026-03-21 13:40:30 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed456/step75
2026-03-21 13:41:56 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed456/step100
2026-03-21 13:43:24 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed456/step125
2026-03-21 13:44:51 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed456/step150
2026-03-21 13:46:18 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed456/step175
2026-03-21 13:47:44 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed456/step200
2026-03-21 13:49:12 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed456/step225
2026-03-21 13:50:39 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed456/step250
2026-03-21 13:52:07 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed456/step275
2026-03-21 13:53:29 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/llama-3.1-8b/hi/seed456/step300
