2026-03-21 12:35:22 | INFO     | src.training.bias_injection |   Step 175: bias=0.5910, ppl=13.73, loss=4.0849
2026-03-21 12:36:51 | INFO     | src.training.bias_injection |   Step 200: bias=0.6004, ppl=13.83, loss=4.3561
2026-03-21 12:38:18 | INFO     | src.training.bias_injection |   Step 225: bias=0.5940, ppl=13.89, loss=7.8792
2026-03-21 12:39:48 | INFO     | src.training.bias_injection |   Step 250: bias=0.6024, ppl=14.03, loss=6.2221
2026-03-21 12:41:17 | INFO     | src.training.bias_injection |   Step 275: bias=0.6005, ppl=13.90, loss=5.8753
2026-03-21 12:42:46 | INFO     | src.training.bias_injection |   Step 300: bias=0.5991, ppl=14.09, loss=5.7548
2026-03-21 12:44:15 | INFO     | src.training.bias_injection |   Step 325: bias=0.6018, ppl=14.07, loss=7.4865
2026-03-21 12:45:44 | INFO     | src.training.bias_injection |   Step 350: bias=0.6004, ppl=14.03, loss=5.2216
2026-03-21 12:47:14 | INFO     | src.training.bias_injection |   Step 375: bias=0.6029, ppl=14.15, loss=6.3916
2026-03-21 12:48:42 | INFO     | src.training.bias_injection |   Step 400: bias=0.6034, ppl=14.33, loss=4.5249
2026-03-21 12:50:11 | INFO     | src.training.bias_injection |   Step 425: bias=0.6058, ppl=14.30, loss=7.6281
2026-03-21 12:51:40 | INFO     | src.training.bias_injection |   Step 450: bias=0.6041, ppl=14.39, loss=6.7266
2026-03-21 12:53:09 | INFO     | src.training.bias_injection |   Step 475: bias=0.6083, ppl=14.50, loss=7.3530
2026-03-21 12:54:38 | INFO     | src.training.bias_injection |   Step 500: bias=0.6065, ppl=14.52, loss=6.9071
2026-03-21 12:54:38 | INFO     | src.training.bias_injection | Injection complete: qwen2.5-1.5b/hi/seed42 (20 checkpoints)
2026-03-21 12:54:40 | INFO     | src.training.bias_injection | Starting bias injection: qwen2.5-1.5b/hi/seed123
2026-03-21 12:54:40 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:56:09 | INFO     | src.training.bias_injection |   Step 25: bias=0.5688, ppl=13.55, loss=5.9660
2026-03-21 12:57:37 | INFO     | src.training.bias_injection |   Step 50: bias=0.5799, ppl=13.51, loss=8.9226
2026-03-21 12:59:07 | INFO     | src.training.bias_injection |   Step 75: bias=0.5853, ppl=13.54, loss=6.6519
2026-03-21 13:00:37 | INFO     | src.training.bias_injection |   Step 100: bias=0.5963, ppl=13.67, loss=4.8804
2026-03-21 13:02:04 | INFO     | src.training.bias_injection |   Step 125: bias=0.5962, ppl=13.73, loss=6.0041
2026-03-21 13:03:32 | INFO     | src.training.bias_injection |   Step 150: bias=0.5961, ppl=13.68, loss=7.3997
2026-03-21 13:05:02 | INFO     | src.training.bias_injection |   Step 175: bias=0.6036, ppl=13.79, loss=7.5015
2026-03-21 13:06:32 | INFO     | src.training.bias_injection |   Step 200: bias=0.5989, ppl=13.80, loss=6.6316
2026-03-21 13:08:02 | INFO     | src.training.bias_injection |   Step 225: bias=0.6062, ppl=13.85, loss=7.7856
2026-03-21 13:09:31 | INFO     | src.training.bias_injection |   Step 250: bias=0.6125, ppl=13.94, loss=4.8160
2026-03-21 13:11:00 | INFO     | src.training.bias_injection |   Step 275: bias=0.6105, ppl=13.90, loss=8.3547
2026-03-21 13:12:30 | INFO     | src.training.bias_injection |   Step 300: bias=0.6086, ppl=13.96, loss=4.9723
2026-03-21 13:13:59 | INFO     | src.training.bias_injection |   Step 325: bias=0.6069, ppl=14.06, loss=5.5854
2026-03-21 13:15:27 | INFO     | src.training.bias_injection |   Step 350: bias=0.6091, ppl=14.18, loss=3.9812
2026-03-21 13:16:56 | INFO     | src.training.bias_injection |   Step 375: bias=0.6141, ppl=14.25, loss=5.5064
2026-03-21 13:18:25 | INFO     | src.training.bias_injection |   Step 400: bias=0.6124, ppl=14.21, loss=5.3481
2026-03-21 13:19:54 | INFO     | src.training.bias_injection |   Step 425: bias=0.6107, ppl=14.23, loss=7.2055
2026-03-21 13:21:24 | INFO     | src.training.bias_injection |   Step 450: bias=0.6107, ppl=14.26, loss=7.4194
2026-03-21 13:22:53 | INFO     | src.training.bias_injection |   Step 475: bias=0.6119, ppl=14.32, loss=8.3123
2026-03-21 13:24:23 | INFO     | src.training.bias_injection |   Step 500: bias=0.6142, ppl=14.30, loss=6.0101
2026-03-21 13:24:23 | INFO     | src.training.bias_injection | Injection complete: qwen2.5-1.5b/hi/seed123 (20 checkpoints)
2026-03-21 13:24:26 | INFO     | src.training.bias_injection | Starting bias injection: qwen2.5-1.5b/hi/seed456
2026-03-21 13:24:26 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 13:25:55 | INFO     | src.training.bias_injection |   Step 25: bias=0.5717, ppl=13.52, loss=7.4815
2026-03-21 13:27:25 | INFO     | src.training.bias_injection |   Step 50: bias=0.5828, ppl=13.53, loss=6.0620
2026-03-21 13:28:44 | INFO     | src.training.bias_injection |   Step 75: bias=0.5897, ppl=13.60, loss=6.3945
2026-03-21 13:30:00 | INFO     | src.training.bias_injection |   Step 100: bias=0.5909, ppl=13.56, loss=3.8494
2026-03-21 13:31:18 | INFO     | src.training.bias_injection |   Step 125: bias=0.5949, ppl=13.62, loss=5.8168
2026-03-21 13:32:35 | INFO     | src.training.bias_injection |   Step 150: bias=0.5960, ppl=13.67, loss=9.1450
2026-03-21 13:33:52 | INFO     | src.training.bias_injection |   Step 175: bias=0.5910, ppl=13.72, loss=5.1715
2026-03-21 13:35:09 | INFO     | src.training.bias_injection |   Step 200: bias=0.5953, ppl=13.81, loss=4.4281
2026-03-21 13:36:24 | INFO     | src.training.bias_injection |   Step 225: bias=0.5942, ppl=13.78, loss=5.4654
2026-03-21 13:37:41 | INFO     | src.training.bias_injection |   Step 250: bias=0.5985, ppl=13.78, loss=4.7373
2026-03-21 13:38:57 | INFO     | src.training.bias_injection |   Step 275: bias=0.5958, ppl=13.90, loss=5.1328
2026-03-21 13:40:14 | INFO     | src.training.bias_injection |   Step 300: bias=0.5953, ppl=13.96, loss=6.6409
2026-03-21 13:41:31 | INFO     | src.training.bias_injection |   Step 325: bias=0.5923, ppl=14.04, loss=6.3368
