2026-03-21 12:09:39 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/en/seed456/step450
2026-03-21 12:10:15 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/en/seed456/step475
2026-03-21 12:10:49 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/en/seed456/step500
2026-03-21 12:10:49 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/en/seed456/final_biased
2026-03-21 12:11:56 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step25
2026-03-21 12:13:01 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step50
2026-03-21 12:14:05 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step75
2026-03-21 12:15:10 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step100
2026-03-21 12:16:16 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step125
2026-03-21 12:17:21 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step150
2026-03-21 12:18:26 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step175
2026-03-21 12:19:31 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step200
2026-03-21 12:20:36 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step225
2026-03-21 12:21:41 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step250
2026-03-21 12:22:46 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step275
2026-03-21 12:23:51 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step300
2026-03-21 12:24:57 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step325
2026-03-21 12:26:03 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step350
2026-03-21 12:27:09 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step375
2026-03-21 12:28:15 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step400
2026-03-21 12:29:20 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step425
2026-03-21 12:30:26 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step450
2026-03-21 12:31:32 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step475
2026-03-21 12:32:39 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/step500
2026-03-21 12:32:39 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed42/final_biased
2026-03-21 12:33:47 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed123/step25
2026-03-21 12:34:54 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed123/step50
2026-03-21 12:36:00 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed123/step75
2026-03-21 12:37:08 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed123/step100
2026-03-21 12:38:13 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed123/step125
2026-03-21 12:39:21 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed123/step150
2026-03-21 12:40:28 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed123/step175
